zip,lat,lng,state
00501,40.922326,-72.637078,NY
00544,40.922326,-72.637078,NY
01001,42.140549,-72.788661,MA
01002,42.367092,-72.464571,MA
01003,42.369562,-72.63599,MA
01004,42.384494,-72.513183,MA
01005,42.32916,-72.139465,MA
01007,42.280267,-72.402056,MA
01008,42.177833,-72.958359,MA
01009,42.206092,-72.340486,MA
01010,42.108585,-72.20448,MA
01011,42.294259,-72.952776,MA
01012,42.392274,-72.825607,MA
01013,42.161492,-72.667341,MA
01014,42.170731,-72.604842,MA
01020,42.177492,-72.562563,MA
01021,42.170731,-72.604842,MA
01022,42.193392,-72.55436,MA
01026,42.428617,-72.909841,MA
01027,42.368303,-72.768839,MA
01028,42.062009,-72.49874,MA
01029,42.190904,-73.051661,MA
01030,42.189335,-72.79774,MA
01031,42.352554,-72.205724,MA
01032,42.443837,-72.819446,MA
01033,42.262285,-72.504086,MA
01034,42.112748,-72.952003,MA
01035,42.356804,-72.576613,MA
01036,42.067614,-72.417507,MA
01037,42.347856,-72.225251,MA
01038,42.387269,-72.643081,MA
01039,42.35641,-72.682127,MA
01040,42.198291,-72.64207,MA
01041,42.170731,-72.604842,MA
01050,42.313427,-72.903677,MA
01053,42.353838,-72.704385,MA
01054,42.474681,-72.467543,MA
01056,42.173276,-72.627038,MA
01057,42.095323,-72.282063,MA
01059,42.369562,-72.63599,MA
01060,42.415154,-72.76927,MA
01061,42.369562,-72.63599,MA
01062,42.328838,-72.845227,MA
01063,42.317939,-72.640234,MA
01066,42.406697,-72.633901,MA
01068,42.346144,-72.058847,MA
01069,42.176131,-72.31457,MA
01070,42.448984,-72.958397,MA
01071,42.177432,-72.864558,MA
01072,42.471562,-72.44017,MA
01073,42.230008,-72.728463,MA
01074,42.375998,-72.149388,MA
01075,42.24984,-72.58152,MA
01077,42.066644,-72.541205,MA
01079,42.192892,-72.329574,MA
01080,42.179805,-72.517813,MA
01081,42.061948,-72.213598,MA
01082,42.377471,-72.548549,MA
01083,42.204027,-72.199439,MA
01084,42.390303,-72.870857,MA
01085,42.14869,-72.501887,MA
01086,42.173428,-72.847964,MA
01088,42.390583,-72.646894,MA
01089,42.125793,-72.645334,MA
01090,42.170731,-72.604842,MA
01092,42.202887,-72.229025,MA
01093,42.442673,-72.652511,MA
01094,42.358201,-72.140846,MA
01095,42.125974,-72.489988,MA
01096,42.413069,-72.821653,MA
01097,42.161743,-72.845912,MA
01098,42.40494,-72.896133,MA
01101,42.170731,-72.604842,MA
01102,42.170731,-72.604842,MA
01103,42.103044,-72.590783,MA
